ecoregion,bandsname,Train R2,Test R2,Synergy Gain
I03,Texture+Temporal+LandCover:,0.5995,0.2442,0.1547
I03,Texture+Climate+Topography:,0.7873,0.5184,0.2115
I03,Texture+Climate+SocioEconomic:,0.7933,0.5304,0.2086
I03,Texture+Climate+LandCover:,0.7796,0.5188,0.2907
I03,Texture+Topography+SocioEconomic:,0.7308,0.4155,0.1402
I03,Texture+Topography+LandCover:,0.6132,0.2789,0.0973
I03,Texture+SocioEconomic+LandCover:,0.7115,0.3875,0.191
I03,Temporal+Climate+Topography:,0.7074,0.434,0.1707
I03,Temporal+Climate+SocioEconomic:,0.7273,0.4448,0.1665
I03,Temporal+Climate+LandCover:,0.7211,0.5074,0.3229
I03,Temporal+Topography+SocioEconomic:,0.6503,0.3396,0.1079
I03,Temporal+Topography+LandCover:,0.4713,0.2362,0.0982
I03,Temporal+SocioEconomic+LandCover:,0.6451,0.3777,0.2248
I03,Climate+Topography+SocioEconomic:,0.7354,0.4712,0.1009
I03,Climate+Topography+LandCover:,0.7289,0.5155,0.2389
I03,Climate+SocioEconomic+LandCover:,0.738,0.5034,0.2119
I03,Topography+SocioEconomic+LandCover:,0.6765,0.4291,0.1841
I04,Basic_Index:,0.3376,0.2669,0
I04,Texture:,0.3076,0.1965,0
I04,Temporal:,0.1367,0.0364,0
I04,Climate:,0.2744,0.1983,0
I04,Topography:,0.2202,0.1378,0
I04,SocioEconomic:,0.1336,0.0781,0
I04,LandCover:,0.0531,0.045,0
I04,Basic_Index+Texture:,0.3889,0.2938,0.0621
I04,Basic_Index+Temporal:,0.4806,0.3872,0.2355
I04,Basic_Index+Climate:,0.5311,0.4366,0.204
I04,Basic_Index+Topography:,0.4525,0.3395,0.1372
I04,Basic_Index+SocioEconomic:,0.4529,0.36,0.1875
I04,Basic_Index+LandCover:,0.3387,0.272,0.1161
I04,Texture+Temporal:,0.3953,0.2692,0.1528
I04,Texture+Climate:,0.4764,0.3509,0.1535
I04,Texture+Topography:,0.4149,0.2737,0.1065
I04,Texture+SocioEconomic:,0.3861,0.2679,0.1306
I04,Texture+LandCover:,0.3077,0.2007,0.0799
I04,Temporal+Climate:,0.301,0.1949,0.0775
I04,Temporal+Topography:,0.2365,0.115,0.0279
I04,Temporal+SocioEconomic:,0.1932,0.0988,0.0415
I04,Temporal+LandCover:,0.1714,0.0981,0.0573
I04,Climate+Topography:,0.3242,0.2153,0.0472
I04,Climate+SocioEconomic:,0.2917,0.2007,0.0625
I04,Climate+LandCover:,0.2943,0.2184,0.0967
I04,Topography+SocioEconomic:,0.2503,0.1419,0.0339
I04,Topography+LandCover:,0.2316,0.1495,0.058
I04,SocioEconomic+LandCover:,0.1787,0.1057,0.0441
I04,Basic_Index+Texture+Temporal:,0.5065,0.4039,0.2373
I04,Basic_Index+Texture+Climate:,0.5468,0.4433,0.2227
I04,Basic_Index+Texture+Topography:,0.479,0.3555,0.1551
I04,Basic_Index+Texture+SocioEconomic:,0.4636,0.361,0.1805
I04,Basic_Index+Texture+LandCover:,0.3902,0.2958,0.1263
I04,Basic_Index+Temporal+Climate:,0.5983,0.5005,0.3333
I04,Basic_Index+Temporal+Topography:,0.5375,0.4225,0.2755
I04,Basic_Index+Temporal+SocioEconomic:,0.532,0.4388,0.3116
I04,Basic_Index+Temporal+LandCover:,0.4826,0.3887,0.2726
I04,Basic_Index+Climate+Topography:,0.5804,0.4771,0.2761
I04,Basic_Index+Climate+SocioEconomic:,0.5468,0.455,0.2738
I04,Basic_Index+Climate+LandCover:,0.5331,0.4401,0.27
I04,Basic_Index+Topography+SocioEconomic:,0.5151,0.4107,0.2498
I04,Basic_Index+Topography+LandCover:,0.4506,0.3422,0.1922
I04,Basic_Index+SocioEconomic+LandCover:,0.4553,0.3635,0.2335
I04,Texture+Temporal+Climate:,0.5156,0.3881,0.2443
I04,Texture+Temporal+Topography:,0.4764,0.3354,0.2118
I04,Texture+Temporal+SocioEconomic:,0.4531,0.3242,0.2205
I04,Texture+Temporal+LandCover:,0.4012,0.2825,0.1898
I04,Texture+Climate+Topography:,0.5333,0.3922,0.2146
I04,Texture+Climate+SocioEconomic:,0.4996,0.3759,0.2183
I04,Texture+Climate+LandCover:,0.4838,0.3641,0.2175
I04,Texture+Topography+SocioEconomic:,0.4656,0.3255,0.188
I04,Texture+Topography+LandCover:,0.4177,0.283,0.1565
I04,Texture+SocioEconomic+LandCover:,0.3891,0.2743,0.1678
I04,Temporal+Climate+Topography:,0.3395,0.2203,0.0961
I04,Temporal+Climate+SocioEconomic:,0.3126,0.2079,0.1036
I04,Temporal+Climate+LandCover:,0.3311,0.2354,0.1422
I04,Temporal+Topography+SocioEconomic:,0.2701,0.1453,0.0612
I04,Temporal+Topography+LandCover:,0.2658,0.1662,0.0931
I04,Temporal+SocioEconomic+LandCover:,0.2362,0.1482,0.095
I04,Climate+Topography+SocioEconomic:,0.3391,0.2251,0.087
I04,Climate+Topography+LandCover:,0.3359,0.2417,0.1147
I04,Climate+SocioEconomic+LandCover:,0.3272,0.2391,0.1319
I04,Topography+SocioEconomic+LandCover:,0.2696,0.1734,0.0864
I05,Basic_Index:,0.5208,0.2361,0
I05,Texture:,0.5043,0.093,0
I05,Temporal:,0.403,0.0836,0
I05,Climate:,0.6824,0.4364,0
I05,Topography:,0.6211,0.4274,0
I05,SocioEconomic:,0.5325,0.2476,0
I05,LandCover:,0.1167,0.1004,0
I05,Basic_Index+Texture:,0.6287,0.2228,0.0582
I05,Basic_Index+Temporal:,0.7066,0.4427,0.2829
I05,Basic_Index+Climate:,0.8467,0.6208,0.2846
I05,Basic_Index+Topography:,0.7085,0.4361,0.1043
I05,Basic_Index+SocioEconomic:,0.7412,0.464,0.2221
I05,Basic_Index+LandCover:,0.5517,0.278,0.1097
I05,Texture+Temporal:,0.7109,0.2897,0.2014
I05,Texture+Climate:,0.7976,0.4994,0.2347
I05,Texture+Topography:,0.7336,0.3443,0.0841
I05,Texture+SocioEconomic:,0.6969,0.3224,0.1521
I05,Texture+LandCover:,0.5507,0.1634,0.0667
I05,Temporal+Climate:,0.6974,0.4401,0.1801
I05,Temporal+Topography:,0.5741,0.2547,-0.0008
I05,Temporal+SocioEconomic:,0.5682,0.2328,0.0672
I05,Temporal+LandCover:,0.5803,0.2839,0.1919
I05,Climate+Topography:,0.7325,0.4635,0.0316
I05,Climate+SocioEconomic:,0.7248,0.4503,0.1083
I05,Climate+LandCover:,0.7356,0.4872,0.2188
I05,Topography+SocioEconomic:,0.6648,0.3647,0.0272
I05,Topography+LandCover:,0.665,0.4706,0.2067
I05,SocioEconomic+LandCover:,0.5946,0.3525,0.1785
I05,Basic_Index+Texture+Temporal:,0.7402,0.4359,0.2983
I05,Basic_Index+Texture+Climate:,0.8572,0.6188,0.3637
I05,Basic_Index+Texture+Topography:,0.7272,0.3767,0.1245
I05,Basic_Index+Texture+SocioEconomic:,0.7697,0.439,0.2467
I05,Basic_Index+Texture+LandCover:,0.6428,0.2441,0.1009
I05,Basic_Index+Temporal+Climate:,0.8638,0.65,0.3979
I05,Basic_Index+Temporal+Topography:,0.7684,0.4948,0.2458
I05,Basic_Index+Temporal+SocioEconomic:,0.8115,0.5482,0.3591
I05,Basic_Index+Temporal+LandCover:,0.7174,0.4446,0.3045
I05,Basic_Index+Climate+Topography:,0.8641,0.6434,0.2767
I05,Basic_Index+Climate+SocioEconomic:,0.8611,0.6392,0.3325
I05,Basic_Index+Climate+LandCover:,0.8487,0.6261,0.3684
I05,Basic_Index+Topography+SocioEconomic:,0.8052,0.5105,0.2068
