eco_region_id	eco_region_name	year	loss_area_km2	loss_area_ha	pixel_count	forest_area_2000_km2
12	I15	2004	375.2963138186277	37529.63138186277	447.9764705882353	170784.66755755135
12	I15	2005	262.7938483700981	26279.38483700981	313.8078431372549	170784.66755755135
12	I15	2006	286.5295123	28652.95123	342	170784.66755755135
12	I15	2007	335.92971422156836	33592.971422156836	400.47843137254904	170784.66755755135
12	I15	2008	309.8956174539215	30989.561745392148	369.2352941176471	170784.66755755135
12	I15	2009	331.4040877176471	33140.408771764705	394.92156862745094	170784.66755755135
12	I15	2010	397.91511069803926	39791.51106980393	474.2196078431373	170784.66755755135
12	I15	2011	318.5544976392161	31855.44976392161	379.54117647058825	170784.66755755135
12	I15	2012	536.8124967166663	53681.24967166663	639.8274509803922	170784.66755755135
12	I15	2013	488.9135943955885	48891.35943955885	582.9098039215687	170784.66755755135
12	I15	2014	424.1646000063728	42416.46000063728	505.2392156862745	170784.66755755135
12	I15	2015	488.2711978100492	48827.11978100492	582.6549019607844	170784.66755755135
12	I15	2016	513.8731958416669	51387.31958416669	612.564705882353	170784.66755755135
12	I15	2017	492.3823546583334	49238.235465833335	587.4941176470589	170784.66755755135
12	I15	2018	457.46438108848076	45746.43810884807	545.8549019607843	170784.66755755135
12	I15	2019	470.5779445659315	47057.79445659315	560.8509803921569	170784.66755755135
12	I15	2020	515.1818736791662	51518.18736791662	614.5215686274512	170784.66755755135
13	I16	2001	72.30102041519608	7230.102041519608	83.83529411764707	3787.8625550377456
13	I16	2002	82.72298362794116	8272.298362794116	95.7686274509804	3787.8625550377456
13	I16	2003	116.00966738651958	11600.966738651958	133.88235294117646	3787.8625550377456
13	I16	2004	112.97529486078432	11297.529486078432	131.69019607843134	3787.8625550377456
13	I16	2005	87.11209969460782	8711.209969460782	102.01960784313727	3787.8625550377456
13	I16	2006	91.6188668958333	9161.88668958333	106.19607843137256	3787.8625550377456
13	I16	2007	92.3961580370098	9239.615803700979	107.58823529411764	3787.8625550377456
13	I16	2008	97.3567158178921	9735.671581789209	113.6392156862745	3787.8625550377456
13	I16	2009	98.99263284264704	9899.263284264704	115.35294117647058	3787.8625550377456
13	I16	2010	76.7871119617647	7678.7111961764695	89.89411764705882	3787.8625550377456
13	I16	2011	94.84844064362738	9484.844064362738	110.9686274509804	3787.8625550377456
13	I16	2012	108.02852331348036	10802.852331348036	125.95686274509804	3787.8625550377456
13	I16	2013	96.35462603039217	9635.462603039217	112.87450980392157	3787.8625550377456
13	I16	2014	67.30963397377454	6730.9633973774535	78.06666666666666	3787.8625550377456
13	I16	2015	80.33253099681372	8033.253099681371	93.69803921568626	3787.8625550377456
13	I16	2016	96.64225025955878	9664.225025955879	113.1764705882353	3787.8625550377456
13	I16	2017	74.10227796053918	7410.227796053919	86.42745098039215	3787.8625550377456
13	I16	2018	93.01241078848038	9301.241078848037	108.47058823529412	3787.8625550377456
13	I16	2019	89.58410332549015	8958.410332549014	104.92941176470589	3787.8625550377456
13	I16	2020	81.98760645367645	8198.760645367645	95.90588235294118	3787.8625550377456
14	I17	2001	311.12877329093175	31112.877329093175	357.6666666666667	21071.845305455627
14	I17	2002	499.0595647436275	49905.95647436275	572.5450980392158	21071.845305455627
14	I17	2003	451.72366852941155	45172.36685294116	519.3176470588232	21071.845305455627
14	I17	2004	336.06758648750025	33606.75864875002	386.5019607843137	21071.845305455627
14	I17	2005	339.85992797598055	33985.99279759805	390.9764705882353	21071.845305455627
